,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count
11219,27856097,Brad,within a day,100%,,1.0
11220,472707242,Lafayette,,,100%,1.0
11221,62844140,Daniel,within a few hours,75%,92%,4.0
11222,28531719,Nav,within an hour,100%,96%,1.0
11223,13245574,Lisa,,,,6.0
11224,335500640,Jerry,within an hour,100%,93%,4.0
11225,517968406,Mark Anthony,within an hour,100%,100%,2.0
11226,69591466,Kelly,within a day,100%,100%,2.0
11227,17397673,Jerad,within an hour,100%,83%,3.0
11228,131117881,Aimee,within an hour,97%,99%,2.0
11229,406826562,Lester,within an hour,100%,100%,4.0
11230,406826562,Lester,within an hour,100%,100%,4.0
11231,112740863,Adam,within an hour,100%,87%,6.0
11232,33694089,Mercedes,within an hour,100%,94%,51.0
11233,19536366,G.H.,within a few hours,100%,100%,4.0
11234,21422412,Steve,within an hour,100%,100%,1.0
11235,125878422,Christelle,a few days or more,40%,100%,1.0
11236,64052858,Fieldtrip,within an hour,100%,98%,93.0
11237,146786591,Hugh,within an hour,100%,100%,2.0
11238,494137176,Yonggui,within an hour,100%,99%,9.0
11239,35737531,Mike,within an hour,100%,,1.0
11240,66840203,Laura,,,,2.0
11241,114390232,Jesse,within a few hours,100%,100%,2.0
11242,24303784,Stay Awhile,within an hour,100%,93%,128.0
11243,870087,Martineke,within a few hours,100%,70%,3.0
11244,24068872,Michael,within an hour,100%,99%,2.0
11245,24303784,Stay Awhile,within an hour,100%,93%,128.0
11246,405333928,Yilian,within an hour,100%,96%,45.0
11247,96194824,Jean,within an hour,100%,100%,1.0
11248,16157607,Anthony & Delia,within a day,100%,,2.0
11249,5335305,Todd,within an hour,100%,100%,2.0
11250,76201653,Antonia,within an hour,100%,90%,3.0
11251,266101825,Bohemian Oasis,within a few hours,86%,56%,11.0
11252,14440605,Jennifer,within an hour,100%,100%,2.0
11253,19983048,Ethan,within an hour,100%,99%,1.0
11254,146175195,Kris,,,,1.0
11255,19280024,Kristofer,within an hour,100%,100%,4.0
11256,48005494,Zeus,within a few hours,100%,97%,2005.0
11257,384179121,Mani,within an hour,100%,99%,28.0
11258,69699034,Fei,,,,3.0
11259,81794058,Moda,within an hour,100%,99%,22.0
11260,33487936,Ethan,,,100%,2.0
11261,89542968,Justin,,,100%,5.0
11262,64165193,David Wai,within an hour,99%,100%,120.0
11263,66661549,Mariel,within an hour,100%,100%,1.0
11264,30934651,Chuck,within an hour,100%,100%,7.0
11265,64351263,John,,,,1.0
11266,496178738,Esther,within an hour,100%,97%,3.0
11267,22897301,Jihane,,,,2.0
11268,261437181,Leonel,within a few hours,100%,98%,1.0
11269,69546991,Amethyst,,,,4.0
11270,88754889,Sina,within a few hours,100%,50%,4.0
11271,9075429,Open Air,within an hour,100%,84%,116.0
11272,40083970,Noorji,,,,1.0
11273,406826562,Lester,within an hour,100%,100%,4.0
11274,15643925,Stacey,within an hour,100%,99%,19.0
11275,441625723,Katie,within an hour,100%,91%,3.0
11276,85681973,Nick,,,,1.0
11277,9635195,Judy,within an hour,100%,98%,1.0
11278,368754588,Carla,a few days or more,0%,100%,4.0
11279,495542602,Wei,within an hour,100%,100%,1.0
11280,1937752,Sarah,within an hour,90%,91%,6.0
11281,6988803,Kathy,,,,2.0
11282,36744431,Diana,within a day,100%,86%,1.0
11283,46585329,Cinthia,within an hour,100%,100%,6.0
11284,53079697,Vivian,within an hour,100%,76%,29.0
11285,344374837,Jasmin,within an hour,100%,98%,21.0
11286,195022227,Esther,,,,5.0
11287,1506070,Lisa,,,,6.0
11288,30079030,Jeannine,within an hour,100%,94%,2.0
11289,53079697,Vivian,within an hour,100%,76%,29.0
11290,502309189,Paul,within an hour,100%,100%,5.0
11291,104083325,旭,,,,1.0
11292,17740218,Joy,within a day,86%,100%,1.0
11293,27618684,James,within an hour,100%,100%,6.0
11294,9838596,Mónica,within a few hours,100%,64%,7.0
11295,21924750,Anastasia,,,100%,3.0
11296,36536301,Britnie,,,,1.0
11297,122597869,Lina,within an hour,100%,100%,5.0
11298,51174333,Tracy,,,,1.0
11299,63827011,Keith,within an hour,100%,100%,12.0
11300,85737916,Laetitia,within a few hours,100%,64%,2.0
11301,128461756,Laura,,,,3.0
11302,137877395,Nina,within an hour,100%,100%,72.0
11303,23586426,Zoia,within an hour,100%,93%,6.0
11304,107434423,Blueground,within an hour,100%,97%,5803.0
11305,58532118,Jerry,within an hour,100%,98%,51.0
11306,62322426,Paula & Mian,within a day,70%,67%,8.0
11307,253559158,Pari,within a few hours,90%,75%,1.0
11308,3097566,Great,within an hour,98%,82%,77.0
11309,50486495,Queenie,within an hour,100%,100%,5.0
11310,432920337,Tim,within an hour,100%,99%,5.0
11311,14208353,Laurie,within an hour,100%,95%,1.0
11312,20043329,Deborah,within a day,100%,,15.0
11313,345731439,Shae,within a day,100%,67%,1.0
11314,44036989,Terry,,,,1.0
11315,26704910,Ilyse,within an hour,100%,100%,2.0
11316,8961713,Frank Marquez,within an hour,100%,98%,3.0
11317,525934913,Jie,within an hour,100%,100%,6.0
11318,126824075,Month2month,within an hour,100%,79%,233.0
11319,89542968,Justin,,,100%,5.0
11320,469325104,Huifen,within an hour,100%,96%,2.0
11321,107434423,Blueground,within an hour,100%,97%,5803.0
11322,408014935,Margareta,,,50%,1.0
11323,524408549,Alice,within an hour,100%,98%,5.0
11324,135795018,Gini,within a few hours,100%,,10.0
11325,13992754,Just Bring Your Toothbrush,within an hour,100%,97%,168.0
11326,5112516,Kai,within an hour,100%,100%,17.0
11327,97827742,Ryan,within an hour,100%,67%,1.0
11328,408082781,Jingmin,within an hour,100%,99%,5.0
11329,8501364,Nicholas,within a few hours,88%,100%,1.0
11330,126644161,Evolve,within an hour,99%,99%,1736.0
11331,8398671,Sara,within an hour,100%,98%,85.0
11332,1181670,Ellen,within an hour,100%,78%,2.0
11333,423744462,Huaqi,within an hour,100%,98%,8.0
11334,72416453,Paola,within an hour,100%,100%,1.0
11335,167242968,Teresa,within an hour,100%,100%,5.0
11336,23458477,Marina,within a day,58%,84%,129.0
11337,345139121,Luxury Rentals,within an hour,100%,81%,11.0
11338,22215213,Ginger,within a few hours,100%,87%,1.0
11339,7238626,Daniel,within a day,100%,40%,8.0
11340,279292206,Forrest & Ashley,within a few hours,90%,93%,1.0
11341,285404902,Laura And Gavin,within an hour,100%,99%,1.0
11342,34298543,Kōzi,within an hour,100%,98%,5.0
11343,33845576,Liz,,,,3.0
11344,395000382,Limor,within an hour,100%,100%,3.0
11345,190340424,Cherie,within an hour,100%,93%,2.0
11346,519868191,Lexi,within an hour,100%,80%,2.0
11347,1024414,David,within a few hours,100%,100%,3.0
11348,13502197,Irene,within a few hours,80%,100%,10.0
11349,37102289,Brian,,,,1.0
11350,348379911,Fredrik,within an hour,100%,98%,49.0
11351,39726584,Logan,,,,1.0
11352,3805814,David,within an hour,100%,100%,3.0
11353,443940119,Min,within an hour,100%,100%,4.0
11354,187928450,Ekaterina,within a few hours,100%,100%,1.0
11355,98647265,Rebecca,within an hour,100%,93%,44.0
11356,24303784,Stay Awhile,within an hour,100%,93%,128.0
11357,298837285,Jenny,within an hour,100%,100%,10.0
11358,133229540,Judy,within an hour,100%,98%,4.0
11359,208037735,Allie,within an hour,100%,100%,1.0
11360,236926,Ray & Adreana,within an hour,100%,100%,1.0
11361,13502197,Irene,within a few hours,80%,100%,10.0
11362,360381825,Jie,within a few hours,100%,100%,4.0
11363,8398671,Sara,within an hour,100%,98%,85.0
11364,71240028,John,within an hour,100%,99%,3.0
11365,156662467,Jon & Megan,within an hour,100%,100%,1.0
11366,49959241,Sam Emily,within a few hours,88%,89%,19.0
11367,478334322,Hong,within an hour,100%,100%,10.0
11368,292681341,Honggang,within an hour,100%,99%,168.0
11369,364368739,Malgorzata,within an hour,100%,100%,3.0
11370,134267499,StayCozy,within an hour,100%,92%,173.0
11371,20017206,Joe,,,,2.0
11372,346712317,Jay,within an hour,100%,99%,15.0
11373,14488107,Vicky,within an hour,90%,70%,13.0
11374,348674685,Maison,within a few hours,100%,92%,3.0
11375,401210,Chad And Lara,within an hour,100%,99%,3.0
11376,348379911,Fredrik,within an hour,100%,98%,49.0
11377,61026839,Jeffrey,,,67%,6.0
11378,167071767,Menelio,within an hour,100%,94%,1.0
11379,82682365,Kent,within a day,100%,,4.0
11380,24303784,Stay Awhile,within an hour,100%,93%,128.0
11381,123611510,Paulina & Chris,within an hour,100%,100%,1.0
11382,473045089,Steven,within an hour,91%,94%,4.0
11383,315028004,晴铧小栈（周月租优惠）,a few days or more,0%,0%,3.0
11384,34525952,David,within an hour,100%,91%,2.0
11385,55050793,Kathrin,within a few hours,100%,71%,2.0
11386,37798508,Kamal,within an hour,100%,100%,1.0
11387,21578891,Mariko,,,,2.0
11388,66614713,Dave,within an hour,100%,100%,1.0
11389,105826403,Gloria,within an hour,100%,98%,4.0
11390,189626218,Karen,within an hour,100%,100%,1.0
11391,309840068,Elaine,within an hour,100%,98%,1.0
11392,189625237,John,,,,4.0
11393,140500031,Cynthia,,,,1.0
11394,54803159,Larry,within an hour,100%,99%,6.0
11395,25361339,Jeff,within an hour,100%,98%,6.0
11396,143567965,Sherry,within an hour,100%,100%,22.0
11397,110389839,琳,within an hour,78%,94%,11.0
11398,349079187,Lily’s Bed & Breakfast,within an hour,96%,100%,19.0
11399,311480751,Eric,,,,6.0
11400,120586588,Monica And Robert,,,,2.0
11401,45912009,Gina,within an hour,100%,100%,3.0
11402,47992825,Vicky,within an hour,90%,88%,40.0
11403,494400370,Afshin,,,,1.0
11404,218697119,Sison,within an hour,100%,97%,1.0
11405,229603019,Angie & Bruce,within an hour,100%,100%,521.0
11406,64165193,David Wai,within an hour,99%,100%,120.0
11407,480751008,Jinheng,a few days or more,10%,86%,2.0
11408,57551434,Evelyn,,,,1.0
11409,12102385,Eliza And Justin,within an hour,100%,100%,107.0
11410,383281375,Shelly,a few days or more,4%,100%,1763.0
11411,12324327,Joshua,within an hour,100%,99%,32.0
11412,107434423,Blueground,within an hour,100%,97%,5803.0
11413,484418056,Fulin,within a few hours,100%,,2.0
11414,123905089,Sofi,,,,6.0
11415,99808752,Wei Lin,within an hour,100%,100%,12.0
11416,245681917,KieandSweets,a few days or more,0%,,2.0
11417,64165193,David Wai,within an hour,99%,100%,120.0
11418,2966937,Chris,within a few hours,100%,100%,2.0
11419,65957030,Bidan,within an hour,100%,99%,5.0
11420,496658688,Francoise,within a day,100%,100%,1.0
11421,31973978,Elisabeth,within an hour,100%,98%,41.0
11422,78908096,David And Lara,within an hour,100%,100%,5.0
11423,7858796,Pamela,within a few hours,83%,41%,33.0
11424,32094500,Justin And Galina,within an hour,100%,100%,3.0
11425,79170855,Bambi,,,,1.0
11426,27423335,Sam,within a few hours,100%,75%,1.0
11427,107434423,Blueground,within an hour,100%,97%,5803.0
11428,438342091,Tiffany,within an hour,100%,100%,3.0
11429,64165193,David Wai,within an hour,99%,100%,120.0
11430,13628737,Eytan,,,,1.0
11431,2790377,Roxanna,within a few hours,100%,100%,7.0
11432,106304961,Anthony,,,,5.0
11433,25147343,Herly,within an hour,100%,100%,34.0
11434,27618684,James,within an hour,100%,100%,6.0
11435,27505153,Louise,,,,4.0
11436,134267499,StayCozy,within an hour,100%,92%,173.0
11437,322479668,Yan,within an hour,100%,100%,6.0
11438,418009398,Victor,within an hour,100%,100%,2.0
11439,64165193,David Wai,within an hour,99%,100%,120.0
11440,8102285,Vaso,,,,1.0
11441,489981075,Nikki,within an hour,100%,100%,7.0
11442,219283,Vacation Living,within a few hours,100%,97%,28.0
11443,160353329,Hsu,,,,6.0
11444,14936368,Andy,within an hour,97%,82%,213.0
11445,171180364,Roni,within an hour,99%,93%,131.0
11446,152544707,Derek,within an hour,100%,100%,3.0
11447,171180364,Roni,within an hour,99%,93%,131.0
11448,180031716,Krista,,,,2.0
11449,4599472,Kristina,a few days or more,43%,67%,1.0
11450,110389839,琳,within an hour,78%,94%,11.0
11451,474601185,Baojing,,,100%,2.0
11452,79201942,Scott,,,,1.0
11453,3097566,Great,within an hour,98%,82%,77.0
11454,18766099,Emily,within an hour,100%,100%,4.0
11455,50861343,Jiwen,,,,1.0
11456,163847118,Raymond,within an hour,100%,98%,26.0
11457,184732441,Selina,within an hour,100%,99%,3.0
11458,29947900,Jen & Matt,within a day,100%,33%,2.0
11459,229040,Karri,,,,1.0
11460,105826403,Gloria,within an hour,100%,98%,4.0
11461,114011492,Andre,within a few hours,100%,100%,8.0
11462,23458477,Marina,within a day,58%,84%,129.0
11463,23350843,Roger,within an hour,100%,100%,11.0
11464,4337610,Marialyce,within an hour,100%,100%,2.0
11465,90659293,Bennie And Bebe,within an hour,100%,100%,16.0
11466,439904978,Nancy,within an hour,100%,99%,15.0
11467,338394698,RR Management,within an hour,98%,99%,28.0
11468,344374837,Jasmin,within an hour,100%,98%,21.0
11469,533136918,Jino,within an hour,100%,100%,27.0
11470,4235108,Ofir,within an hour,100%,99%,56.0
11471,173679,Briana,within an hour,100%,95%,1.0
11472,186457870,Nam,,,0%,1.0
11473,64165193,David Wai,within an hour,99%,100%,120.0
11474,418481856,Andrew,,,100%,2.0
11475,107434423,Blueground,within an hour,100%,97%,5803.0
11476,265419824,Shuping,within an hour,100%,86%,2.0
11477,5309820,Stephan,within a few hours,100%,95%,24.0
11478,135073486,Cari,within an hour,100%,84%,1.0
11479,374367463,Brett,within a few hours,100%,,2.0
11480,41845688,Merilyn,within an hour,100%,98%,15.0
11481,239226595,Wonnie,within a few hours,85%,88%,86.0
11482,442499187,Nan,within an hour,100%,98%,2.0
11483,64165193,David Wai,within an hour,99%,100%,120.0
11484,153189508,Jakob,,,,3.0
11485,80146702,Kaden,within an hour,100%,100%,2.0
11486,20865245,B.,within a few hours,100%,100%,1.0
11487,3437889,Ducky,,,,6.0
11488,1681515,Noah,within an hour,100%,100%,2.0
11489,441262444,Jenny,within an hour,100%,98%,4.0
11490,98574255,W,within an hour,98%,85%,16.0
11491,439904978,Nancy,within an hour,100%,99%,15.0
11492,99122026,Sean,within a day,80%,92%,12.0
11493,107434423,Blueground,within an hour,100%,97%,5803.0
11494,48301416,Joe,within an hour,100%,99%,12.0
11495,49105646,Brad,,,,1.0
11496,74937341,Vanessa,,,,1.0
11497,4235108,Ofir,within an hour,100%,99%,56.0
11498,1887110,Susan,,,0%,2.0
11499,511746830,Frank,within an hour,97%,99%,7.0
11500,298866251,Nasser,within an hour,100%,100%,8.0
11501,496944100,RoomPicks,within an hour,100%,97%,2455.0
11502,311516087,Marc,within an hour,100%,100%,3.0
11503,14660805,David,within an hour,100%,96%,3.0
11504,143225174,Phoebe,,,,2.0
11505,61985023,Amanda,within an hour,100%,100%,2.0
11506,134796620,Jill,within an hour,100%,75%,3.0
11507,7528751,Chris & Amy,within an hour,100%,93%,1.0
11508,49364232,David,,,,1.0
11509,167830036,Lindsey,,,,1.0
11510,1497543,Gramercy,within an hour,100%,99%,23.0
11511,533136918,Jino,within an hour,100%,100%,27.0
11512,155157201,David,within an hour,100%,100%,2.0
11513,47200820,Mariusz,within an hour,100%,91%,6.0
11514,48005494,Zeus,within a few hours,100%,97%,2005.0
11515,10201715,Angela,within an hour,100%,73%,3.0
11516,81169783,Kamisha,,,,1.0
11517,25923001,Vicky,within an hour,100%,92%,15.0
11518,8717113,Han,,,,2.0
11519,496944100,RoomPicks,within an hour,100%,97%,2455.0
11520,365502524,Sheila,within an hour,82%,100%,12.0
11521,414535744,Hsin-Yun,within an hour,100%,98%,2.0
11522,127106306,Jeffrey,within an hour,100%,100%,3.0
11523,193534493,James,,,,1.0
11524,418481856,Andrew,,,100%,2.0
11525,64165193,David Wai,within an hour,99%,100%,120.0
11526,181294435,Lola,within an hour,100%,100%,7.0
11527,1984401,Gary,,,,1.0
11528,505043335,Zenglong,within an hour,100%,94%,4.0
11529,812385,Joseph,,,,5.0
11530,19700155,Miss,within an hour,97%,98%,16.0
11531,24303784,Stay Awhile,within an hour,100%,93%,128.0
11532,191451,Jessica,,,,2.0
11533,162166377,Aaron,within an hour,100%,100%,7.0
11534,24303784,Stay Awhile,within an hour,100%,93%,128.0
11535,80983534,Dom,,,,1.0
11536,462302876,Gisela And Dan,within an hour,100%,100%,1.0
11537,442266403,Max,within an hour,100%,100%,2.0
11538,444324976,Elizabeth,within an hour,100%,100%,5.0
11539,1506070,Lisa,,,,6.0
11540,29602325,Jean-Louis,,,,1.0
11541,22819782,Kristen,within a few hours,100%,59%,11.0
11542,91702750,Jacob & Amelie,,,,2.0
11543,24303784,Stay Awhile,within an hour,100%,93%,128.0
11544,123286299,Sasha,within an hour,100%,86%,9.0
11545,23742235,Steve,within an hour,98%,100%,7.0
11546,427560145,Lana,within a day,100%,0%,1.0
11547,189127615,Sophia,,,,2.0
11548,208610860,Joel,within an hour,98%,98%,358.0
11549,35597016,Victoria,within an hour,100%,98%,2.0
11550,35037234,David,within an hour,98%,99%,22.0
11551,59300269,Moonjoo,within a day,100%,0%,5.0
11552,19700155,Miss,within an hour,97%,98%,16.0
11553,529027695,Wei,within an hour,100%,97%,11.0
11554,459615291,Shirley,within an hour,100%,100%,15.0
11555,181132854,Matan,within an hour,93%,60%,92.0
11556,204653081,Gloria,within a few hours,88%,100%,4.0
11557,166553797,Mersy,,,,2.0
11558,27283589,Barbara,within a few hours,100%,,1.0
11559,34647715,Walter,within an hour,100%,98%,24.0
11560,90969660,Pantea,within a few hours,100%,,1.0
11561,735873,Christina,,,,1.0
11562,12269798,Eddie,within a few hours,100%,,7.0
11563,262429246,Cubier,within an hour,100%,98%,129.0
11564,2790377,Roxanna,within a few hours,100%,100%,7.0
11565,36556434,Jasmin,within a few hours,100%,67%,5.0
11566,225838410,Pink,within an hour,96%,93%,22.0
11567,440237253,Xiaojin,within an hour,100%,98%,8.0
11568,225838410,Pink,within an hour,96%,93%,22.0
11569,157720309,Peter,within a few hours,100%,0%,6.0
11570,137809643,Demajae,,,,6.0
11571,110891587,Merik,within an hour,100%,50%,2.0
11572,395001392,Byron,within an hour,100%,100%,45.0
11573,101778182,Anahit,within a few hours,100%,55%,2.0
11574,81106069,Thi H,within an hour,100%,96%,13.0
11575,39367618,Mia,,,100%,5.0
11576,48301416,Joe,within an hour,100%,99%,12.0
11577,107434423,Blueground,within an hour,100%,97%,5803.0
11578,93539496,Matthew,within an hour,100%,100%,4.0
11579,106048960,Elise,,,,2.0
11580,117204663,Brittany Star,within a day,100%,96%,3.0
11581,110094211,Noah,,,,2.0
11582,12517855,Bonni,within an hour,100%,80%,3.0
11583,49119691,Roberta,within an hour,100%,90%,3.0
11584,71817771,Lucy,within an hour,100%,82%,7.0
11585,504252105,Guesty,within an hour,100%,83%,177.0
11586,49311028,Chase,,,,1.0
11587,16748536,Deniz,within a few hours,100%,100%,6.0
11588,126644161,Evolve,within an hour,99%,99%,1736.0
11589,25326961,Alba & Mike,within an hour,100%,99%,64.0
11590,30480376,K T S Property Management,within an hour,100%,96%,7.0
11591,136448123,Chrissy,within an hour,100%,100%,3.0
11592,16672550,Cezar,within an hour,100%,100%,1.0
11593,6795635,Shonelle,within an hour,100%,86%,18.0
11594,196729646,Abraham,,,,1.0
11595,50241716,Libby,,,,1.0
11596,48777044,Thomas,,,,2.0
11597,22778374,Lila,,,,3.0
11598,25923001,Vicky,within an hour,100%,92%,15.0
11599,104314519,Tam,,,,1.0
11600,230016718,Sam,within an hour,100%,100%,136.0
11601,509033653,Jo,within an hour,100%,94%,1.0
11602,51110301,Lilian,within an hour,100%,99%,17.0
11603,219542,Nisa,,,0%,8.0
11604,302629277,연희 (Brenda),within an hour,91%,100%,5.0
11605,10037263,James,,,,6.0
11606,59869714,Ben,within an hour,100%,100%,1.0
11607,24975469,Ryan,,,,1.0
11608,423744462,Huaqi,within an hour,100%,98%,8.0
11609,280839309,Tony,within an hour,98%,92%,9.0
11610,62993612,Peter,within an hour,100%,100%,1.0
11611,406826562,Lester,within an hour,100%,100%,4.0
11612,25010806,Nadia,within an hour,100%,99%,8.0
11613,107434423,Blueground,within an hour,100%,97%,5803.0
11614,24594764,Annika,within an hour,90%,96%,17.0
11615,2108926,Shawn,within an hour,100%,94%,28.0
11616,501999514,RoomPicks,within an hour,100%,99%,3782.0
11617,44121925,Karen,within an hour,100%,100%,5.0
11618,476730145,Victori,within an hour,100%,99%,4.0
11619,325936068,Cristian,within a few hours,100%,90%,1.0
11620,196181588,Daniel,,,,1.0
11621,51862071,Coronado,,,,5.0
11622,509915863,Vacasa,within an hour,100%,98%,683.0
11623,199325770,Natasha,,,,2.0
11624,100985891,Rebecca,within an hour,95%,88%,35.0
11625,497071898,Xing,within an hour,100%,100%,7.0
11626,7142233,Eric,within an hour,100%,76%,10.0
11627,432920337,Tim,within an hour,100%,99%,5.0
11628,221742986,Jacqui,within an hour,100%,94%,1.0
11629,225838410,Pink,within an hour,96%,93%,22.0
11630,98574255,W,within an hour,98%,85%,16.0
11631,10832832,Katy,within an hour,100%,96%,131.0
11632,183595265,Ling,within an hour,100%,100%,11.0
11633,97496339,Sissi,within an hour,99%,99%,120.0
11634,2598191,Liza,within a day,100%,,2.0
11635,496944100,RoomPicks,within an hour,100%,97%,2455.0
11636,44704141,Sam,within a few hours,100%,88%,1.0
11637,107434423,Blueground,within an hour,100%,97%,5803.0
11638,92744678,Allen,within an hour,100%,100%,9.0
11639,259441045,Leon,,,,64.0
11640,494006814,Leo,,,,45.0
11641,184242960,Jill,within a day,50%,0%,1.0
11642,100702839,Luiza,,,,2.0
11643,4057560,Robert,within an hour,100%,99%,6.0
11644,14660805,David,within an hour,100%,96%,3.0
11645,1271958,Vanessa And Ousseynou,within an hour,100%,98%,11.0
11646,5320022,Tiffani,within an hour,100%,100%,1.0
11647,31036098,Sherwin,within an hour,97%,97%,5.0
11648,137613270,Styles,within an hour,100%,95%,4.0
11649,138846054,Eric,within an hour,100%,100%,16.0
11650,58532118,Jerry,within an hour,100%,98%,51.0
11651,32988646,Tara,within an hour,100%,100%,5.0
11652,35786994,Casa Rentals,within an hour,100%,100%,66.0
11653,429562179,Truffle,within a few hours,100%,0%,1.0
11654,107434423,Blueground,within an hour,100%,97%,5803.0
11655,239660658,Linda,within an hour,100%,70%,7.0
11656,4400463,Julie,,,,2.0
11657,133478850,Ning,,,,1.0
11658,495279081,Whitney,within an hour,100%,100%,5.0
11659,98574255,W,within an hour,98%,85%,16.0
11660,46988513,Cevher,within a day,87%,95%,19.0
11661,447635457,Miraj-Zeel,within an hour,100%,100%,3.0
11662,14936368,Andy,within an hour,97%,82%,213.0
11663,66979824,Kristen,,,,2.0
11664,439793422,Han,within an hour,100%,100%,1.0
11665,351906823,Victor,within a few hours,100%,100%,1.0
11666,313855,Nancy Yvonne,,,,1.0
11667,11862130,Irina,within an hour,100%,,2.0
11668,891818,Nicole,within an hour,100%,99%,200.0
11669,123093483,Pranav,,,,2.0
11670,24303784,Stay Awhile,within an hour,100%,93%,128.0
11671,710828,Karene,,,,4.0
11672,33319367,Tuyen,within an hour,100%,99%,11.0
11673,29448007,Justin,,,,2.0
11674,146066123,Robert,,,,2.0
11675,8398671,Sara,within an hour,100%,98%,85.0
11676,442499187,Nan,within an hour,100%,98%,2.0
11677,2065237,Eva,within an hour,100%,93%,3.0
11678,24303784,Stay Awhile,within an hour,100%,93%,128.0
11679,2466121,Lisa,within an hour,100%,99%,9.0
11680,6790453,Laura,,,,1.0
11681,1337637,Maria,a few days or more,33%,25%,2.0
11682,15108882,Francine,,,100%,1.0
11683,2841431,Elizabeth,,,,2.0
11684,259441045,Leon,,,,64.0
11685,28472789,Zach,within an hour,100%,86%,3.0
11686,15440298,Tosca,within an hour,100%,98%,15.0
11687,107434423,Blueground,within an hour,100%,97%,5803.0
11688,90859235,Daniella,within a few hours,100%,100%,3.0
11689,4819292,Kristin & Richard,within an hour,100%,100%,4.0
11690,434085108,Nilou,,,,1.0
11691,28575618,Wilson,within a few hours,90%,71%,11.0
11692,28575618,Wilson,within a few hours,90%,71%,11.0
11693,199316511,John,within an hour,100%,92%,17.0
11694,148797371,Luxury Mansion Rentals,within an hour,100%,84%,10.0
11695,64165193,David Wai,within an hour,99%,100%,120.0
11696,162410214,Linda,within an hour,100%,99%,1.0
11697,72933825,The Maimon Group,within an hour,100%,96%,103.0
11698,67479285,Melissa&Alan,,,,3.0
11699,234863146,Irene,within an hour,100%,97%,1.0
11700,59617328,Joan,within a few hours,100%,100%,2.0
11701,1439148,Allen,within an hour,100%,96%,2.0
11702,46435260,Charlie,within an hour,100%,100%,2.0
11703,10557541,Mia,within a few hours,100%,75%,3.0
11704,22016968,Martin,,,,1.0
11705,275440424,Gissel,within a few hours,90%,76%,8.0
11706,438095388,Cameron,within a day,70%,55%,6.0
11707,27913293,Joshua,within an hour,100%,84%,1.0
11708,33783030,Dee,within an hour,100%,100%,7.0
11709,37207995,Tanya,within a day,80%,75%,35.0
11710,69386934,Jason,,,,1.0
11711,100428075,Sam,within an hour,100%,92%,105.0
11712,24131677,Maya,within an hour,100%,100%,14.0
11713,50769015,Brett,within an hour,100%,69%,4.0
11714,121578976,Lisa,within an hour,100%,100%,8.0
11715,265462526,Thomas,within an hour,100%,78%,3.0
11716,130918581,Vacation Stay L. A.,within an hour,100%,94%,3.0
11717,28472789,Zach,within an hour,100%,86%,3.0
11718,151713400,Lorena,,,,2.0
11719,456018609,Vacasa California,within an hour,90%,99%,799.0
11720,161175199,Drew,,,,1.0
11721,97299620,Qi,,,,2.0
11722,472967955,Rachel,within an hour,100%,100%,26.0
11723,88790320,Isabel,,,,2.0
11724,891818,Nicole,within an hour,100%,99%,200.0
11725,40163894,Zora,within an hour,96%,65%,38.0
11726,1394553,Elizabeth,,,,1.0
11727,23458477,Marina,within a day,58%,84%,129.0
11728,88208190,Polly,within an hour,100%,100%,9.0
11729,20088687,Ana,within a few hours,100%,83%,1.0
11730,48005494,Zeus,within a few hours,100%,97%,2005.0
11731,7782015,Majestic,within a day,80%,100%,36.0
11732,64165193,David Wai,within an hour,99%,100%,120.0
11733,258658111,Tobbi,within an hour,100%,86%,3.0
11734,118262470,Living The Dream,within an hour,98%,98%,23.0
11735,28661954,Brandon,,,,7.0
11736,15697894,Jay,within a day,80%,10%,10.0
11737,331194627,Nemias,within an hour,100%,92%,2.0
11738,7271567,Fernando,,,100%,1.0
11739,423474335,Wilson,within an hour,100%,99%,1.0
11740,19700155,Miss,within an hour,97%,98%,16.0
11741,23458477,Marina,within a day,58%,84%,129.0
11742,6962143,Jason,within an hour,100%,98%,1.0
11743,200661892,Gulzhan,,,,5.0
11744,118236582,Ezequiel,within a day,100%,0%,1.0
11745,22321926,Melinda,,,,1.0
11746,838166,VacationLuxRental,within an hour,85%,64%,30.0
11747,496944100,RoomPicks,within an hour,100%,97%,2455.0
11748,31876476,Maite Christi,,,100%,2.0
11749,147566809,Alisson,,,,1.0
11750,225838410,Pink,within an hour,96%,93%,22.0
11751,891818,Nicole,within an hour,100%,99%,200.0
11752,99260611,Ricardo,,,,1.0
11753,18895408,Maria,,,,2.0
11754,16395163,Ana,,,,1.0
11755,101140642,Cho Family,within an hour,100%,99%,4.0
11756,149740552,Tatiana,within a few hours,100%,100%,3.0
11757,487720389,Kai,within a day,100%,100%,4.0
11758,468884755,NY Apartments,,,33%,14.0
11759,398575803,Skyview,within a few hours,70%,63%,3.0
11760,453333194,Zheng,,,,2.0
11761,135974214,Beáta Lídia,,,50%,3.0
11762,25574892,Andrew,,,,1.0
11763,36745703,Suzette,within a day,100%,0%,4.0
11764,71692414,翁姐,within an hour,100%,100%,6.0
11765,178160261,Martha Elisa,within an hour,100%,100%,2.0
11766,891818,Nicole,within an hour,100%,99%,200.0
11767,496178738,Esther,within an hour,100%,97%,3.0
11768,207867147,Alejandro,,,,1.0
